aaLL	aa ll 
c0aaK0k0aat0xxLLee	c0 aa k0 kk aa t0 xx ll ee 
c0aaK0k0aat0xxLLxi	c0 aa k0 k0 aa t0 xx ll xi 
c0aaK0k0aat0xxLLxi	c0 aa k0 kk aa t0 xx ll xi 
c0aaK0k0aat0xxLLxxNN	c0 aa k0 k0 aa t0 xx ll xx nn 
c0aaK0k0aat0xxLLxxNN	c0 aa k0 kk aa t0 xx ll xx nn 
c0aaK0k0aaxi	c0 aa k0 kk aa xi 
c0aaK0phuuMMiit0aa	c0 aa k0 ph uu mm ii t0 aa 
c0aaLL	c0 aa ll 
c0aaMMc0aakhoo	c0 aa mm c0 aa kh oo 
c0aaMMk0xxk0oo	c0 aa mm k0 xx k0 oo 
c0aaNNt0ii	c0 aa nn t0 ii 
c0aaNNt0iiee	c0 aa nn t0 ii ee 
c0aaNNt0iik0aa	c0 aa nn t0 ii k0 aa 
c0aaNNt0iillxxLL	c0 aa nn t0 ii ll xx ll 
c0aaNNt0iip0aaTHee	c0 aa nn t0 ii p0 aa th ee 
c0aaP0aat0aak0aa	c0 aa p0 aa t0 aa k0 aa 
c0aaP0c0aannxxNN	c0 aa p0 cc aa nn xx nn 
c0aaP0choowa	c0 aa p0 ch oo wa 
c0aaP0hhiiLL	c0 aa ph ii ll 
c0aaP0k0oo	c0 aa p0 kk oo 
c0aaP0mmooK0k0wa	c0 aa p0 mm oo k0 kk wa 
c0aaP0mmooK0k0wa	c0 aa mm mm oo k0 kk wa 
c0aak0ii	c0 aa k0 ii 
c0aak0iit0oo	c0 aa k0 ii t0 oo 
c0aak0iixi	c0 aa k0 ii xi 
c0aak0oo	c0 aa k0 oo 
c0aakkuu	c0 aa kk uu 
c0aakkuummaaNN	c0 aa kk uu mm aa nn 
c0aalliic0aaP0nnxxNN	c0 aa ll ii c0 aa mm nn xx nn 
c0aalliieennxxNN	c0 aa ll ii ee nn xx nn 
c0aalliillxxLL	c0 aa ll ii ll xx ll 
c0aangchiillxxLL	c0 aa ng ch ii ll xx ll 
c0aangk0iiphaaNNt0oo	c0 aa ng k0 ii ph aa nn t0 oo 
c0aangllxx	c0 aa ng nn xx 
c0aangs0aak0aa	c0 aa ng s0 aa k0 aa 
c0aangs0aallxxLL	c0 aa ng s0 aa ll xx ll 
c0aas0eehhii	c0 aa s0 ee hh ii 
c0aas0iiNNiiLL	c0 aa s0 ii nn ii ll 
c0aayus0xxllvvNN	c0 aa yu s0 xx ll vv nn 
c0aayvNNk0wa	c0 aa yv nn k0 wa 
c0aayvNNs0xxllvvP0k0ee	c0 aa yv nn s0 xx ll vv p0 kk ee 
c0ee	c0 ee 
c0eechaangc0oot0weNN	c0 ee ch aa ng c0 oo t0 we nn 
c0eechooK0hhaaNNt0aak0oo	c0 ee ch oo kh aa nn t0 aa k0 oo 
c0eechooK0xxLL	c0 ee ch oo k0 xx ll 
c0eek0aaK0k0ii	c0 ee k0 aa k0 kk ii 
c0eek0uus0vvngt0weNN	c0 ee k0 uu s0 vv ng t0 we nn 
c0eek0wac0vvMMeellxxLL	c0 ee k0 wa c0 vv mm ee ll xx ll 
c0eemmiiiiSSnnxxNN	c0 ee mm ii ii t0 nn xx nn 
c0eemmiiiiSSnnxxNN	c0 ee mm ii ii nn nn xx nn 
c0eemmvvS0t0eelloo	c0 ee mm vv t0 t0 ee ll oo 
c0eemmvvS0t0eelloo	c0 ee mm vv t0 tt ee ll oo 
c0ees0iihhaak0ooc0aa	c0 ee s0 ii hh aa k0 oo c0 aa 
c0eet0eelloo	c0 ee t0 ee ll oo 
c0ii	c0 ii 
c0iiK0c0vvP0	c0 ii k0 cc vv p0 
c0iiK0hhuuee	c0 ii kh uu ee 
c0iiLL	c0 ii ll 
c0iiLLllvv	c0 ii ll ll vv 
c0iiLLs0eeK0iivvSSt0aa	c0 ii ll s0 ee k0 ii vv t0 t0 aa 
c0iiLLs0eeK0iivvSSt0aa	c0 ii ll s0 ee k0 ii vv t0 tt aa 
c0iiMMs0xxngii	c0 ii mm s0 xx ng ii 
c0iiMMs0xxngt0oo	c0 ii mm s0 xx ng t0 oo 
c0iiNN	c0 ii nn 
c0iiNNt0aaLLlleek0aa	c0 ii nn t0 aa ll ll ee k0 aa 
c0iiP0c0uungxxLL	c0 ii p0 cc uu ng xx ll 
c0iiP0ee	c0 ii p0 ee 
c0iiP0ees0vv	c0 ii p0 ee s0 vv 
c0iiP0vv	c0 ii p0 vv 
c0iiS0ii	c0 ii s0 ii 
c0iiTHk0oo	c0 ii t0 k0 oo 
c0iiTHk0oo	c0 ii t0 kk oo 
c0iic0vvk0wik0oo	c0 ii c0 vv k0 wi k0 oo 
c0iichiiNN	c0 ii ch ii nn 
c0iichiik0oo	c0 ii ch ii k0 oo 
c0iichvvNNxxlloo	c0 ii ch vv nn xx ll oo 
c0iichyv	c0 ii ch yv 
c0iihhyangc0vvMMxxLL	c0 ii hh ya ng c0 vv mm xx ll 
c0iik0oo	c0 ii k0 oo 
c0iik0xxMMkkaac0ii	c0 ii k0 xx mm kk aa c0 ii 
c0iik0xxMMxxNN	c0 ii k0 xx mm xx nn 
c0iik0yvP0t0oollooK0	c0 ii k0 yv p0 tt oo ll oo k0 
c0iik0yvngiit0aa	c0 ii k0 yv ng ii t0 aa 
c0iilluuhhaak0oo	c0 ii ll uu hh aa k0 oo 
c0iingk0vvMMt0aallii	c0 ii ng k0 vv mm t0 aa ll ii 
c0iingk0vvMMt0aalliillxxLL	c0 ii ng k0 vv mm t0 aa ll ii ll xx ll 
c0iinnaaSSt0aak0oo	c0 ii nn aa t0 t0 aa k0 oo 
c0iinnaaSSt0aak0oo	c0 ii nn aa t0 tt aa k0 oo 
c0iinnaac0ii	c0 ii nn aa c0 ii 
c0iinnaak0aannxxNN	c0 ii nn aa k0 aa nn xx nn 
c0iinniiNN	c0 ii nn ii nn 
c0iip0uung	c0 ii p0 uu ng 
c0iiphyvSSt0aa	c0 ii ph yv t0 t0 aa 
c0iiphyvSSt0aa	c0 ii ph yv t0 tt aa 
c0iis0iiK0	c0 ii s0 ii k0 
c0iiwvc0iik0oo	c0 ii wv c0 ii k0 oo 
c0iixxNN	c0 ii xx nn 
c0ooHHaahheeSSk0oo	c0 oo aa hh ee t0 k0 oo 
c0ooHHaahheeSSk0oo	c0 oo aa hh ee t0 kk oo 
c0ooHHaahheeSSt0aa	c0 oo aa hh ee t0 t0 aa 
c0ooHHaahheeSSt0aa	c0 oo aa hh ee t0 tt aa 
c0ooHHk0eeSSt0aa	c0 oo kh ee t0 t0 aa 
c0ooHHk0eeSSt0aa	c0 oo kh ee t0 tt aa 
c0ooHHt0aannxxNN	c0 oo th aa nn xx nn 
c0ooHHt0aannxxNNt0ee	c0 oo th aa nn xx nn t0 ee 
c0ooHHxxNN	c0 oo xx nn 
c0ooHHxxnnii	c0 oo xx nn ii 
c0ooLLmmyvNNs0vv	c0 oo ll mm yv nn s0 vv 
c0ooMM	c0 oo mm 
c0ooMMchvvllvvMM	c0 oo mm ch vv ll vv mm 
c0ooMMt0vv	c0 oo mm t0 vv 
c0ooNNc0eek0aa	c0 oo nn c0 ee k0 aa 
c0ooNNc0eennxxNN	c0 oo nn c0 ee nn xx nn 
c0oohhaaP0	c0 oo hh aa p0 
c0ook0eec0ii	c0 oo k0 ee c0 ii 
c0ook0xxMMxxNN	c0 oo k0 xx mm xx nn 
c0oommuulleek0iit0xxLLeek0ee	c0 oo mm uu ll ee k0 ii t0 xx ll ee k0 ee 
c0oongllooee	c0 oo ng nn oo ee 
c0oos0iiMMs0xxllvvP0k0ee	c0 oo s0 ii mm s0 xx ll vv p0 kk ee 
c0ooyaK0t0ooLLii	c0 oo ya k0 t0 oo ll ii 
c0ooyaK0t0ooLLii	c0 oo ya k0 tt oo ll ii 
c0ooyaK0t0ooLLiivvSSt0aa	c0 oo ya k0 t0 oo ll ii vv t0 t0 aa 
c0ooyaK0t0ooLLiivvSSt0aa	c0 oo ya k0 tt oo ll ii vv t0 tt aa 
c0ooyaK0t0ooLLxxLL	c0 oo ya k0 t0 oo ll xx ll 
c0ooyaK0t0ooLLxxLL	c0 oo ya k0 tt oo ll xx ll 
c0ooyonghhaak0iimmaaNN	c0 oo yo ng hh aa k0 ii mm aa nn 
c0uuK0k0iiee	c0 uu k0 kk ii ee 
c0uuK0k0iinnxxNN	c0 uu k0 kk ii nn xx nn 
c0uuK0xxLL	c0 uu k0 xx ll 
c0uuLL	c0 uu ll 
c0uuMMxxlloossvv	c0 uu mm xx ll oo ss vv 
c0uuNNt0aa	c0 uu nn t0 aa 
c0uuNNt0aannxxNN	c0 uu nn t0 aa nn xx nn 
c0uuc0ii	c0 uu c0 ii 
c0uuiiNNee	c0 uu ii nn ee 
c0uuk0iillxxLL	c0 uu k0 ii ll xx ll 
c0uuk0iit0oo	c0 uu k0 ii t0 oo 
c0uuk0oo	c0 uu k0 oo 
c0uuk0oop0aaT0nnxxNN	c0 uu k0 oo p0 aa nn nn xx nn 
c0uulloo	c0 uu ll oo 
c0uummuullxxnnxxNN	c0 uu mm uu ll xx nn xx nn 
c0uummvvnnii	c0 uu mm vv nn ii 
c0uummvvnniiee	c0 uu mm vv nn ii ee 
c0uungees0vv	c0 uu ng ee s0 vv 
c0uunghhaaK0s0eengxxlloo	c0 uu ng hh aa k0 ss ee ng xx ll oo 
c0uungs0iiMMxxlloo	c0 uu ng s0 ii mm xx ll oo 
c0uungs0iihhaannxxNN	c0 uu ng s0 ii hh aa nn xx nn 
c0uunnxxNN	c0 uu nn xx nn 
c0uuvvSSt0aa	c0 uu vv t0 t0 aa 
c0uuvvSSt0aa	c0 uu vv t0 tt aa 
c0uuwillxxLL	c0 uu wi ll xx ll 
c0vv	c0 vv 
c0vvC0mmvvK0ii	c0 vv t0 mm vv k0 ii 
c0vvC0mmvvK0ii	c0 vv nn mm vv k0 ii 
c0vvC0mmvvK0iillxxLL	c0 vv t0 mm vv k0 ii ll xx ll 
c0vvC0mmvvK0iillxxLL	c0 vv nn mm vv k0 ii ll xx ll 
c0vvLLMMxxNNiit0xxLLxi	c0 vv ll mm xx nn ii t0 xx ll xi 
c0vvLLMMxxNNiit0xxLLxi	c0 vv ll mm xx nn ii t0 xx ll xi 
c0vvLLt0eec0vvK0iiNN	c0 vv ll t0 ee c0 vv k0 ii nn 
c0vvMMc0vvMM	c0 vv mm c0 vv mm 
c0vvMMees0vv	c0 vv mm ee s0 vv 
c0vvMMs0uunnaa	c0 vv mm s0 uu nn aa 
c0vvMMxxNN	c0 vv mm xx nn 
c0vvNNc0eeng	c0 vv nn c0 ee ng 
c0vvNNchaallxxLL	c0 vv nn ch aa ll xx ll 
c0vvNNcheec0vvK0iiNN	c0 vv nn ch ee c0 vv k0 ii nn 
c0vvNNcheellxxLL	c0 vv nn ch ee ll xx ll 
c0vvNNee	c0 vv nn ee 
c0vvNNhhyv	c0 vv nn hh yv 
c0vvNNiit0aa	c0 vv nn ii t0 aa 
c0vvNNk0eet0wevvSSt0aa	c0 vv nn k0 ee t0 we vv t0 t0 aa 
c0vvNNk0eet0wevvSSt0aa	c0 vv nn k0 ee t0 we vv t0 tt aa 
c0vvNNk0iit0oo	c0 vv nn k0 ii t0 oo 
c0vvNNp0uuthvv	c0 vv nn p0 uu th vv 
c0vvNNxi	c0 vv nn xi 
c0vvP0hhaak0ee	c0 vv ph aa k0 ee 
c0vvc0vvLLlloo	c0 vv c0 vv ll ll oo 
c0vvccxxMM	c0 vv cc xx mm 
c0vvllii	c0 vv ll ii 
c0vvllvvt0aak0aannxxNN	c0 vv ll vv t0 aa k0 aa nn xx nn 
c0vvmmaat0aa	c0 vv mm aa t0 aa 
c0vvmmuuLLt0oollooK0	c0 vv mm uu ll t0 oo ll oo k0 
c0vvngk0yvLLhhaaNN	c0 vv ng k0 yv ll hh aa nn 
c0vvngs0iiNNxxLL	c0 vv ng s0 ii nn xx ll 
c0vvngt0oolloo	c0 vv ng t0 oo ll oo 
c0vvt0oo	c0 vv t0 oo 
c0wellxxLL	c0 we ll xx ll 
c0wvSSxxmmyvNN	c0 wv ss xx mm yv nn 
c0xxK0	c0 xx k0 
c0xxLLk0vvP0k0iimmaaNN	c0 xx ll k0 vv p0 kk ii mm aa nn 
c0xxLLk0vvuuMMxxLL	c0 xx ll k0 vv uu mm xx ll 
c0xxngoos0iiMMt0oo	c0 xx ng oo s0 ii mm t0 oo 
c0xxngs0ooNNnnyvllaannxxNN	c0 xx ng s0 oo nn nn yv ll aa nn xx nn 
ccaaK0ii	cc aa k0 ii 
ccaalliiS0hhaak0ee	cc aa ll ii s0 hh aa k0 ee 
cciiLL	cc ii ll 
cciiP0cciiLLhhaaNN	cc ii p0 cc ii ll hh aa nn 
cciik0oo	cc ii k0 oo 
cciillxxNNt0aak0oo	cc ii ll xx nn t0 aa k0 oo 
ccooCHk0oo	cc oo t0 k0 oo 
ccooCHk0oo	cc oo t0 kk oo 
ccooK0	cc oo k0 
ccooK0ii	cc oo k0 ii 
ccooK0xxLL	cc oo k0 xx ll 
ccwet0vvNN	cc we t0 vv nn 
ccyvSSnnxxNNc0ii	cc yv t0 nn xx nn c0 ii 
ccyvSSnnxxNNc0ii	cc yv nn nn xx nn c0 ii 
chaa	ch aa 
chaaC0aa	ch aa c0 aa 
chaaC0aallaa	ch aa c0 aa ll aa 
chaaMM	ch aa mm 
chaaMMwep0aaTHxxLL	ch aa mm we p0 aa th xx ll 
chaaMMxxlloo	ch aa mm xx ll oo 
chaaMMyvhhaaNN	ch aa mm yv hh aa nn 
chaac0iihhaannxxNN	ch aa c0 ii hh aa nn xx nn 
chaalloo	ch aa ll oo 
chaallxxLL	ch aa ll xx ll 
chaangc0ooc0vvK0	ch aa ng c0 oo c0 vv k0 
chaangc0oohhaak0oo	ch aa ng c0 oo hh aa k0 oo 
chee	ch ee 
cheehhaaNNt0aa	ch ee hh aa nn t0 aa 
cheehheeSSt0aa	ch ee hh ee t0 t0 aa 
cheehheeSSt0aa	ch ee hh ee t0 tt aa 
cheelloo	ch ee ll oo 
cheemmaaNNs0iiK0xxNN	ch ee mm aa nn s0 ii k0 xx nn 
cheennyvMMhhaaLL	ch ee nn yv mm hh aa ll 
cheeyvngs0iiNNii	ch ee yv ng s0 ii nn ii 
cheeyvngs0iiNNiillaaNN	ch ee yv ng s0 ii nn ii ll aa nn 
cheeyvngs0iiNNk0wa	ch ee yv ng s0 ii nn k0 wa 
chiiLLhhaaNN	ch ii ll hh aa nn 
chiiMMmmuuK0hhaaNN	ch ii mm mm uu kh aa nn 
chiiNNk0uueek0ee	ch ii nn k0 uu ee k0 ee 
chiic0aanghhee	ch ii c0 aa ng hh ee 
chiiiik0oo	ch ii ii k0 oo 
chooc0oohhaaLL	ch oo c0 oo hh aa ll 
chook0aac0iiP0	ch oo k0 aa c0 ii p0 
choongcheec0vvK0iiNN	ch oo ng ch ee c0 vv k0 ii nn 
choop0vvLL	ch oo p0 vv ll 
choos0iinnee	ch oo s0 ii nn ee 
chuuNNhhyangiinnaa	ch uu nn hh ya ng ii nn aa 
chuuhhaaNN	ch uu hh aa nn 
chuuk0uuhhaak0iit0oo	ch uu k0 uu hh aa k0 ii t0 oo 
chuunnyvllxxLL	ch uu nn yv ll xx ll 
chvvNNchvvNNhhaaNN	ch vv nn ch vv nn hh aa nn 
chvvNNchvvNNhhii	ch vv nn ch vv nn hh ii 
chvvngchvvnghhaaNN	ch vv ng ch vv ng hh aa nn 
chvvngllyanghhaaNN	ch vv ng nn ya ng hh aa nn 
chvvngllyanglliiyvK0xxlloo	ch vv ng ll ya ng ll ii yv k0 xx ll oo 
chvvngllyanglliiyvK0xxlloo	ch vv ng nn ya ng nn ii yv k0 xx ll oo 
chvvngnnyvNNt0xxLLii	ch vv ng nn yv nn t0 xx ll ii 
chvvngs0ooLLk0aac0iillxxLL	ch vv ng s0 oo ll k0 aa c0 ii ll xx ll 
chvvxxMMeennxxNN	ch vv xx mm ee nn xx nn 
chweyongs0iiNNiillaannxxNN	ch we yo ng s0 ii nn ii ll aa nn xx nn 
chxxK0mmyvNNees0vv	ch xx k0 mm yv nn ee s0 vv 
chxxK0mmyvNNees0vv	ch xx ng mm yv nn ee s0 vv 
eeK0cheek0aa	ee k0 ch ee k0 aa 
eeS0t0weNN	ee t0 t0 we nn 
eeS0t0weNN	ee t0 tt we nn 
eessxxnnxxNN	ee ss xx nn xx nn 
eet0xxLLii	ee t0 xx ll ii 
eet0xxLLxxNN	ee t0 xx ll xx nn 
hhaaK0k0yoees0vv	hh aa k0 kk yo ee s0 vv 
hhaaK0mmaaxxLL	hh aa ng mm aa xx ll 
hhaaK0s0eengii	hh aa k0 ss ee ng ii 
hhaaLL	hh aa ll 
hhaaLLTHaa	hh aa ll th aa 
hhaaLLmmvvnniinnxxNN	hh aa ll mm vv nn ii nn xx nn 
hhaaMMkkee	hh aa mm kk ee 
hhaaNN	hh aa nn 
hhaaNNchaaMM	hh aa nn ch aa mm 
hhaaNNchaangiivvSSt0aa	hh aa nn ch aa ng ii vv t0 t0 aa 
hhaaNNchaangiivvSSt0aa	hh aa nn ch aa ng ii vv t0 tt aa 
hhaaNNk0aauuNNt0ee	hh aa nn k0 aa uu nn t0 ee 
hhaaNNk0aauuNNt0eeee	hh aa nn k0 aa uu nn t0 ee ee 
hhaaNNp0vvNN	hh aa nn p0 vv nn 
hhaaNNphyvNNxxlloonnxxNN	hh aa nn ph yv nn xx ll oo nn xx nn 
hhaaNNt0aa	hh aa nn t0 aa 
hhaaNNt0aaNN	hh aa nn t0 aa nn 
hhaaNNt0aammyvNN	hh aa nn t0 aa mm yv nn 
hhaaNNt0aat0vvk0uuNN	hh aa nn t0 aa t0 vv k0 uu nn 
hhaaNNyonguuNNxxNN	hh aa nn yo ng uu nn xx nn 
hhaac0aa	hh aa c0 aa 
hhaak0ii	hh aa k0 ii 
hhaak0oo	hh aa k0 oo 
hhaak0vvnnaa	hh aa k0 vv nn aa 
hhaalluuhhaalluuk0aa	hh aa ll uu hh aa ll uu k0 aa 
hhaammyvNN	hh aa mm yv nn 
hhaammyvNNs0vv	hh aa mm yv nn s0 vv 
hhaannaa	hh aa nn aa 
hhaannaaxi	hh aa nn aa xi 
hhaannxxLLlloo	hh aa nn xx ll ll oo 
hhaannxxLLxi	hh aa nn xx ll xi 
hhaannxxNN	hh aa nn xx nn 
hhaat0vvNN	hh aa t0 vv nn 
hhaat0vvnnii	hh aa t0 vv nn ii 
hhaayaNN	hh aa ya nn 
hhee	hh ee 
hheeS0s0aaLL	hh ee t0 s0 aa ll 
hheeS0s0aaLL	hh ee t0 ss aa ll 
hheeS0s0aaLLii	hh ee t0 s0 aa ll ii 
hheeS0s0aaLLii	hh ee t0 ss aa ll ii 
hheeSSt0aa	hh ee t0 t0 aa 
hheeSSt0aa	hh ee t0 tt aa 
hheeSSt0vvnnii	hh ee t0 t0 vv nn ii 
hheeSSt0vvnnii	hh ee t0 tt vv nn ii 
hheeSSt0vvnniip0aangmmaangii	hh ee t0 t0 vv nn ii p0 aa ng mm aa ng ii 
hheeSSt0vvnniip0aangmmaangii	hh ee t0 tt vv nn ii p0 aa ng mm aa ng ii 
hheeSSxxLL	hh ee ss xx ll 
hheeSSxxmmyv	hh ee ss xx mm yv 
hheeSSxxnnaa	hh ee ss xx nn aa 
hheek0aa	hh ee k0 aa 
hheemmvvK0k0iik0aa	hh ee mm vv k0 kk ii k0 aa 
hheengk0uuLL	hh ee ng k0 uu ll 
hheengwiee	hh ee ng wi ee 
hheengwillxxLL	hh ee ng wi ll xx ll 
hheengwimmaaNNxxLL	hh ee ng wi mm aa nn xx ll 
hhees0vv	hh ee s0 vv 
hhees0vvK0xxLL	hh ee s0 vv k0 xx ll 
hheet0oo	hh ee t0 oo 
hhiiMMii	hh ii mm ii 
hhiiMMxi	hh ii mm xi 
hhiiMMxxlloo	hh ii mm xx ll oo 
hhooK0xxNN	hh oo k0 xx nn 
hhooNNthaaK0hhaaNN	hh oo nn th aa kh aa nn 
hhoollaaK0hhoollaaK0	hh oo ll aa kh oo ll aa k0 
hhuuLLllyunghhaaNN	hh uu ll ll yu ng hh aa nn 
hhuuMMchyv	hh uu mm ch yv 
hhuuNNhhuuNNhheec0iinniikkaa	hh uu nn hh uu nn hh ee c0 ii nn ii kk aa 
hhuuee	hh uu ee 
hhvvNNs0iiNNc0vvK0iivvSSt0aak0oo	hh vv nn s0 ii nn c0 vv k0 ii vv t0 t0 aa k0 oo 
hhvvNNs0iiNNc0vvK0iivvSSt0aak0oo	hh vv nn s0 ii nn c0 vv k0 ii vv t0 tt aa k0 oo 
hhvvNNs0iiNNhhaannxxNN	hh vv nn s0 ii nn hh aa nn xx nn 
hhvvNNs0iiNNhhaat0aak0aa	hh vv nn s0 ii nn hh aa t0 aa k0 aa 
hhvvS0t0iit0yvSSt0aa	hh vv t0 t0 ii t0 yv t0 t0 aa 
hhvvS0t0iit0yvSSt0aa	hh vv t0 tt ii t0 yv t0 tt aa 
hhvvc0vvNNhhaaMMii	hh vv c0 vv nn hh aa mm ii 
hhvvk0uuc0vvK0	hh vv k0 uu c0 vv k0 
hhvvlliillxxLL	hh vv ll ii ll xx ll 
hhvvlliittiichvvllvvMM	hh vv ll ii tt ii ch vv ll vv mm 
hhvvthaangiit0aa	hh vv th aa ng ii t0 aa 
hhwaK0	hh wa k0 
hhwaLLt0oongee	hh wa ll t0 oo ng ee 
hhwaLLt0oongxxlloos0vv	hh wa ll t0 oo ng xx ll oo s0 vv 
hhwaNNhheec0iik0oo	hh wa nn hh ee c0 ii k0 oo 
hhwac0aangphuuMMxxLL	hh wa c0 aa ng ph uu mm xx ll 
hhwak0aa	hh wa k0 aa 
hhwallxxLL	hh wa ll xx ll 
hhwawvNNiillaak0oo	hh wa wv nn ii ll aa k0 oo 
hhweK0	hh we k0 
hhwit0uuLLllvv	hh wi t0 uu ll ll vv 
hhwivvc0aaP0aa	hh wi vv c0 aa p0 aa 
hhxiNN	hh xi nn 
hhxis0eengt0weNN	hh xi s0 ee ng t0 we nn 
hhxivvSSt0aa	hh xi vv t0 t0 aa 
hhxivvSSt0aa	hh xi vv t0 tt aa 
hhxxLLK0p0aallaaMMii	hh xx ll k0 pp aa ll aa mm ii 
hhxxLLK0p0aallaaMMii	hh xx k0 pp aa ll aa mm ii 
hhxxLLK0p0aallaaMMii	hh xx k0 pp aa ll aa mm ii 
hhxxLLllvvt0xxLLvvSSt0aa	hh xx ll ll vv t0 xx ll vv t0 t0 aa 
hhxxLLllvvt0xxLLvvSSt0aa	hh xx ll ll vv t0 xx ll vv t0 tt aa 
hhxxMMppvvK0	hh xx mm pp vv k0 
hhxxNNhhii	hh xx nn hh ii 
hhxxNNt0xxLLvv	hh xx nn t0 xx ll vv 
hhxxP0s0uuc0iik0aa	hh xx p0 ss uu c0 ii k0 aa 
hhxxTHvvc0yvs0vv	hh xx th vv c0 yv s0 vv 
hhxxllxxnnxxNN	hh xx ll xx nn xx nn 
hhxxngc0vvngiiyo	hh xx ng c0 vv ng ii yo 
hhxxngc0vvngxxNN	hh xx ng c0 vv ng xx nn 
hhyanghhee	hh ya ng hh ee 
