aaLLaa	aa ll aa 
c0vvMMees0vv	c0 vv mm ee s0 vv 
c0vvMMees0vvnnxxNN	c0 vv mm ee s0 vv nn xx nn 
c0vvNNee	c0 vv nn ee 
c0vvNNmmuuNNc0vvK0iiNN	c0 vv nn mm uu nn c0 vv k0 ii nn 
c0vvNNp0uullxxLL	c0 vv nn p0 uu ll xx ll 
c0vvngk0yohhaaNN	c0 vv ng k0 yo hh aa nn 
c0vvngs0iiNN	c0 vv ng s0 ii nn 
c0xxK0	c0 xx k0 
c0xxngmmyvnghhaallyv	c0 xx ng mm yv ng hh aa ll yv 
ccaaLLP0xxNN	cc aa ll p0 xx nn 
chaaiinnxxNN	ch aa ii nn xx nn 
chaak0aauuMMxxLL	ch aa k0 aa uu mm xx ll 
chaak0aauuNN	ch aa k0 aa uu nn 
chaawvNNii	ch aa wv nn ii 
cheehhvvMMmmaaNNxxlloossvv	ch ee hh vv mm mm aa nn xx ll oo ss vv 
cheehhvvMMxxLL	ch ee hh vv mm xx ll 
cheehhvvMMxxlloo	ch ee hh vv mm xx ll oo 
cheehhvvMMxxlloossvv	ch ee hh vv mm xx ll oo ss vv 
chiillvvya	ch ii ll vv ya 
choohhyvNNs0iiLLc0vvK0iiNN	ch oo hh yv nn s0 ii ll c0 vv k0 ii nn 
choop0ooc0vvK0iiyo	ch oo p0 oo c0 vv k0 ii yo 
chuuK0c0vvK0iiyo	ch uu k0 c0 vv k0 ii yo 
chuuK0c0vvK0iiyo	ch uu k0 cc vv k0 ii yo 
chuuk0uuhhaak0ee	ch uu k0 uu hh aa k0 ee 
chuuk0uuhhaak0ii	ch uu k0 uu hh aa k0 ii 
chuuk0uuhhaammyvNNs0vv	ch uu k0 uu hh aa mm yv nn s0 vv 
chuuk0uuhhaannxxNN	ch uu k0 uu hh aa nn xx nn 
chuuk0uuhhaayv	ch uu k0 uu hh aa yv 
chuungp0uuNNhhii	ch uu ng p0 uu nn hh ii 
hhaaK0k0yo	hh aa k0 kk yo 
hhaaLLc0iillaat0oo	hh aa ll c0 ii ll aa t0 oo 
hhaaMMyangk0wa	hh aa mm ya ng k0 wa 
hhaaNN	hh aa nn 
hhaaNNphyvngs0eeng	hh aa nn ph yv ng s0 ee ng 
hhaaNNt0aa	hh aa nn t0 aa 
hhaac0aa	hh aa c0 aa 
hhaac0iimmaannxxNN	hh aa c0 ii mm aa nn xx nn 
hhaak0eeSSc0iimmaaNN	hh aa k0 ee t0 c0 ii mm aa nn 
hhaak0eeSSc0iimmaaNN	hh aa k0 ee t0 cc ii mm aa nn 
hhaak0eeSSt0aa	hh aa k0 ee t0 t0 aa 
hhaak0eeSSt0aa	hh aa k0 ee t0 tt aa 
hhaammyvNN	hh aa mm yv nn 
hhaannaannxxNN	hh aa nn aa nn xx nn 
hhaannxxNN	hh aa nn xx nn 
hhaayvSSt0aa	hh aa yv t0 t0 aa 
hhaayvSSt0aa	hh aa yv t0 tt aa 
hheengs0aaiik0ii	hh ee ng s0 aa ii k0 ii 
hheeya	hh ee ya 
hhuuLLllyunghhaak0oo	hh uu ll ll yu ng hh aa k0 oo 
hhuuchvvNNc0vvK0iiNN	hh uu ch vv nn c0 vv k0 ii nn 
hhuuchvvNNc0vvK0xxlloo	hh uu ch vv nn c0 vv k0 xx ll oo 
hhvvhhwanghhaaNN	hh vv hh wa ng hh aa nn 
hhvvthaaNNhhaaNN	hh vv th aa nn hh aa nn 
hhwaLLt0oongxxNN	hh wa ll t0 oo ng xx nn 
hhwaLLyonghhaannxxNN	hh wa ll yo ng hh aa nn xx nn 
hhwaNNs0aangxxLL	hh wa nn s0 aa ng xx ll 
hhweK0t0xxK0hhaannxxNN	hh we k0 t0 xx kh aa nn xx nn 
hhweK0t0xxK0hhaannxxNN	hh we k0 tt xx kh aa nn xx nn 
hhweK0t0xxK0xxLL	hh we k0 t0 xx k0 xx ll 
hhweK0t0xxK0xxLL	hh we k0 tt xx k0 xx ll 
hhyvNNs0iiLL	hh yv nn s0 ii ll 
hhyvNNs0iiLLii	hh yv nn s0 ii ll ii 
hhyvNNs0iiLLk0wa	hh yv nn s0 ii ll k0 wa 
hhyvNNs0iiLLlloonnxxNN	hh yv nn s0 ii ll ll oo nn xx nn 
hhyvNNs0iiLLmmaaNNxxLL	hh yv nn s0 ii ll mm aa nn xx ll 
hhyvNNs0iiLLxi	hh yv nn s0 ii ll xi 
hhyvNNs0iiLLxxNN	hh yv nn s0 ii ll xx nn 
ii	ii 
iiLLii	ii ll ii 
iiLLiillaa	ii ll ii ll aa 
iiLLiit0aa	ii ll ii t0 aa 
iiLLmmyvNNxxNN	ii ll mm yv nn xx nn 
iiLLs0eeng	ii ll s0 ee ng 
iiLLt0oo	ii ll t0 oo 
iiNNk0aaNNmmaaNNii	ii nn k0 aa nn mm aa nn ii 
iiNNk0aaNNxxNN	ii nn k0 aa nn xx nn 
iiNNk0yvK0	ii nn k0 yv k0 
iiNNllyuk0aa	ii ll ll yu k0 aa 
iiNNs0eengees0vv	ii nn s0 ee ng ee s0 vv 
iiNNs0eengxxNN	ii nn s0 ee ng xx nn 
iiSSnnxxNN	ii nn nn xx nn 
iiSSnnxxNN	ii t0 nn xx nn 
iiSSt0aa	ii t0 t0 aa 
iiSSt0aa	ii t0 tt aa 
iiSSt0aak0oo	ii t0 t0 aa k0 oo 
iiSSt0aak0oo	ii t0 tt aa k0 oo 
iiSSt0aannxxNN	ii t0 t0 aa nn xx nn 
iiSSt0aannxxNN	ii t0 tt aa nn xx nn 
iiSSxxmmyvNNs0vvt0oo	ii ss xx mm yv nn s0 vv t0 oo 
iiSSxxnnii	ii ss xx nn ii 
iik0vvS0ii	ii k0 vv s0 ii 
iik0vvS0xxLL	ii k0 vv s0 xx ll 
iik0vvS0xxNN	ii k0 vv s0 xx nn 
iilluuvvc0iic0ii	ii ll uu vv c0 ii c0 ii 
iillvvhhaaNN	ii ll vv hh aa nn 
iip0vvNNeennxxNN	ii p0 vv nn ee nn xx nn 
iis0aangee	ii s0 aa ng ee 
iis0aangii	ii s0 aa ng ii 
iis0aangiillaannxxNN	ii s0 aa ng ii ll aa nn xx nn 
iis0aangiiyo	ii s0 aa ng ii yo 
iis0aangk0wa	ii s0 aa ng k0 wa 
iis0aangxi	ii s0 aa ng xi 
iis0aangxxLL	ii s0 aa ng xx ll 
iis0aangxxNN	ii s0 aa ng xx nn 
iiwa	ii wa 
k0aaTHc0iik0aa	k0 aa t0 c0 ii k0 aa 
k0aaTHc0iik0aa	k0 aa t0 cc ii k0 aa 
k0aaTHii	k0 aa ch ii 
k0aaTHxxNN	k0 aa th xx nn 
k0aac0aang	k0 aa c0 aa ng 
k0aac0ii	k0 aa c0 ii 
k0aac0iiNN	k0 aa c0 ii nn 
k0aac0iik0oo	k0 aa c0 ii k0 oo 
k0aac0iinnxxNN	k0 aa c0 ii nn xx nn 
k0aac0vvng	k0 aa c0 vv ng 
k0aac0yvSSt0aannxxNN	k0 aa c0 yv t0 t0 aa nn xx nn 
k0aac0yvSSt0aannxxNN	k0 aa c0 yv t0 tt aa nn xx nn 
k0aachiillxxLL	k0 aa ch ii ll xx ll 
k0aak0oongxi	k0 aa k0 oo ng xi 
k0aalliikhiinnxxNN	k0 aa ll ii kh ii nn xx nn 
k0aallyvng	k0 aa ll yv ng 
k0aannxxnghhaak0oo	k0 aa nn xx ng hh aa k0 oo 
k0aannxxngs0vvngiillaaNN	k0 aa nn xx ng s0 vv ng ii ll aa nn 
k0aannxxngs0vvngmmaaNNxxNN	k0 aa nn xx ng s0 vv ng mm aa nn xx nn 
k0aas0vv	k0 aa s0 vv 
k0eeiiNNii	k0 ee ii nn ii 
k0iiNNc0vvLLhhaaNN	k0 ii nn c0 vv ll hh aa nn 
k0iik0aaNN	k0 ii k0 aa nn 
k0oongc0aangt0oo	k0 oo ng c0 aa ng t0 oo 
k0oongs0aangii	k0 oo ng s0 aa ng ii 
k0vvNNs0vvLLhhaak0ee	k0 vv nn s0 vv ll hh aa k0 ee 
k0vvS0	k0 vv s0 
k0vvS0ii	k0 vv s0 ii 
k0vvS0iic0iimmaaNN	k0 vv s0 ii c0 ii mm aa nn 
k0vvS0iillaa	k0 vv s0 ii ll aa 
k0vvS0iillaaNN	k0 vv s0 ii ll aa nn 
k0vvS0iit0aa	k0 vv s0 ii t0 aa 
k0vvS0iiyo	k0 vv s0 ii yo 
k0vvS0mmaaNNxxlloonnxxNN	k0 vv nn mm aa nn xx ll oo nn xx nn 
k0vvS0mmaaNNxxlloonnxxNN	k0 vv t0 mm aa nn xx ll oo nn xx nn 
k0vvS0t0oo	k0 vv t0 t0 oo 
k0vvS0t0oo	k0 vv t0 tt oo 
k0vvS0xxLL	k0 vv s0 xx ll 
k0vvS0xxNN	k0 vv s0 xx nn 
k0vvt0xxP0hhaaLLc0iillaat0oo	k0 vv t0 xx ph aa ll c0 ii ll aa t0 oo 
k0vvxi	k0 vv xi 
k0wvNNweee	k0 wv nn we ee 
k0xx	k0 xx 
k0xxNNmmyvNN	k0 xx nn mm yv nn 
k0xxNNmmyvNNiit0aa	k0 xx nn mm yv nn ii t0 aa 
k0xxk0vvS0ii	k0 xx k0 vv s0 ii 
k0xxk0vvS0iillaak0oo	k0 xx k0 vv s0 ii ll aa k0 oo 
k0xxk0vvS0xxLL	k0 xx k0 vv s0 xx ll 
k0xxk0vvS0xxNN	k0 xx k0 vv s0 xx nn 
k0xxlliihhaallyvmmyvNN	k0 xx ll ii hh aa ll yv mm yv nn 
k0xxlliihhaayv	k0 xx ll ii hh aa yv 
k0xxlliik0oo	k0 xx ll ii k0 oo 
k0xxlliimmyv	k0 xx ll ii mm yv 
k0xxllvvHHc0iik0aa	k0 xx ll vv ch ii k0 aa 
k0xxllvvHHk0ee	k0 xx ll vv kh ee 
k0xxllvvNNt0ee	k0 xx ll vv nn t0 ee 
k0xxllvvmmxxlloo	k0 xx ll vv mm xx ll oo 
k0xxllvvmmyvNN	k0 xx ll vv mm yv nn 
k0xxllvvnnaa	k0 xx ll vv nn aa 
k0xxt0aac0ii	k0 xx t0 aa c0 ii 
k0yep0aaLLhhaaLL	k0 ye p0 aa ll hh aa ll 
k0yoyuK0ee	k0 yo yu k0 ee 
k0yoyuK0k0wa	k0 yo yu k0 kk wa 
k0yoyuK0xxLL	k0 yo yu k0 xx ll 
k0yvLLkhoo	k0 yv ll kh oo 
khooLLlleellaak0yuNNxxNN	kh oo ll ll ee ll aa k0 yu nn xx nn 
kkooK0	kk oo k0 
kkuuMMii	kk uu mm ii 
kkuuMMiillaaNN	kk uu mm ii ll aa nn 
kkuuMMk0wa	kk uu mm k0 wa 
kkuuMMxxLL	kk uu mm xx ll 
kkuuMMxxNN	kk uu mm xx nn 
mmaaLL	mm aa ll 
mmaaLLii	mm aa ll ii 
mmaaLLiit0aa	mm aa ll ii t0 aa 
mmaaLLk0ee	mm aa ll k0 ee 
mmaaNNHHt0aa	mm aa nn th aa 
mmaaNNHHxxNN	mm aa nn xx nn 
mmaaNNc0ooK0hhaac0iillxxLL	mm aa nn c0 oo kh aa c0 ii ll xx ll 
mmaaNNc0yv	mm aa nn c0 yv 
mmaaNNiiLL	mm aa nn ii ll 
mmaachaaNNk0aac0iilloo	mm aa ch aa nn k0 aa c0 ii ll oo 
mmaangs0aangii	mm aa ng s0 aa ng ii 
mmaannxxNN	mm aa nn xx nn 
mmeeuu	mm ee uu 
mmiis0eengmmuuLLiiNNt0ee	mm ii s0 ee ng mm uu ll ii nn t0 ee 
mmoot0xxNN	mm oo t0 xx nn 
mmuuLLc0iiLLii	mm uu ll c0 ii ll ii 
mmuuLLc0iiLLiillaannxxNN	mm uu ll c0 ii ll ii ll aa nn xx nn 
mmuuLLc0iiLLxi	mm uu ll c0 ii ll xi 
mmuuLLc0iiLLxxLL	mm uu ll c0 ii ll xx ll 
mmuuhhaaNNhhaat0aa	mm uu hh aa nn hh aa t0 aa 
mmuus0vvuuNN	mm uu s0 vv uu nn 
mmuuvvS0xxLL	mm uu vv s0 xx ll 
mmvvK0k0ii	mm vv k0 kk ii 
mmvvK0k0iit0oo	mm vv k0 kk ii t0 oo 
mmvvK0nnxxNN	mm vv ng nn xx nn 
mmvvK0nnxxNNt0aa	mm vv ng nn xx nn t0 aa 
mmvvK0vv	mm vv k0 vv 
mmyvCHmmaaNN	mm yv nn mm aa nn 
mmyvCHmmaaNN	mm yv t0 mm aa nn 
mmyvNNees0vv	mm yv nn ee s0 vv 
mmyvNNii	mm yv nn ii 
nneeNN	nn ee nn 
nnoollyvK0hhaammyvNN	nn oo ll yv kh aa mm yv nn 
nnoollyvK0iinnii	nn oo ll yv k0 ii nn ii 
nnoollyvK0xxNN	nn oo ll yv k0 xx nn 
nnuulliiLL	nn uu ll ii ll 
nnvvmmuu	nn vv mm uu 
nnxxkkiik0ee	nn xx kk ii k0 ee 
ooc0iiK0	oo c0 ii k0 
oonnxxLLnnaaLLkkaac0ii	oo nn xx ll ll aa ll kk aa c0 ii 
oonnxxLLnnaaLLkkaac0iit0oo	oo nn xx ll ll aa ll kk aa c0 ii t0 oo 
p0aaLLhhwis0iikhiiLL	p0 aa ll hh wi s0 ii kh ii ll 
p0aangp0vvP0iiLL	p0 aa ng p0 vv p0 ii ll 
p0aangp0vvP0iit0aa	p0 aa ng p0 vv p0 ii t0 aa 
p0aangp0vvP0xxLL	p0 aa ng p0 vv p0 xx ll 
p0aangp0vvP0xxNN	p0 aa ng p0 vv p0 xx nn 
p0eeuuLL	p0 ee uu ll 
p0eeuuNN	p0 ee uu nn 
p0eeuuk0ee	p0 ee uu k0 ee 
p0eeuuk0ii	p0 ee uu k0 ii 
p0eeuuk0iieennxxNN	p0 ee uu k0 ii ee nn xx nn 
p0eeuunnxxNN	p0 ee uu nn xx nn 
p0eewv	p0 ee wv 
p0iihhyvNNs0iiLLc0vvK0iiNN	p0 ii hh yv nn s0 ii ll c0 vv k0 ii nn 
p0iik0yoc0vvK0	p0 ii k0 yo c0 vv k0 
p0ooaas0vv	p0 oo aa s0 vv 
p0ooiik0oo	p0 oo ii k0 oo 
p0ook0iilloo	p0 oo k0 ii ll oo 
p0ook0oo	p0 oo k0 oo 
p0uuLLk0aannxxnghhaaNN	p0 uu ll k0 aa nn xx ng hh aa nn 
p0uuLLxxLL	p0 uu ll xx ll 
p0uuLLxxNN	p0 uu ll xx nn 
p0uuNNxi	p0 uu nn xi 
p0uuc0iillvvNNiit0aa	p0 uu c0 ii ll vv nn ii t0 aa 
p0vvLLssvv	p0 vv ll ss vv 
p0vvlliik0oo	p0 vv ll ii k0 oo 
p0yvLLc0aangt0oo	p0 yv ll c0 aa ng t0 oo 
phiiLLyohhaaNN	ph ii ll yo hh aa nn 
phiiLLyohhaak0oo	ph ii ll yo hh aa k0 oo 
phuungp0uuhhaak0ee	ph uu ng p0 uu hh aa k0 ee 
ppaangmmaaNNxxlloo	pp aa ng mm aa nn xx ll oo 
ppuuNN	pp uu nn 
s0aaLLk0ii	s0 aa ll k0 ii 
s0aaLLk0oo	s0 aa ll k0 oo 
s0aaLLllyvk0oo	s0 aa ll ll yv k0 oo 
s0aaMMxi	s0 aa mm xi 
s0aaNNt0aa	s0 aa nn t0 aa 
s0aaNNt0aannxxNN	s0 aa nn t0 aa nn xx nn 
s0aahhwe	s0 aa hh we 
s0aak0oo	s0 aa k0 oo 
s0aallaaMMii	s0 aa ll aa mm ii 
s0aallaaMMxi	s0 aa ll aa mm xi 
s0aallaaMMxxLL	s0 aa ll aa mm xx ll 
s0aallaaMMxxNN	s0 aa ll aa mm xx nn 
s0aangthoonghhaannxxNN	s0 aa ng th oo ng hh aa nn xx nn 
s0aannxxNN	s0 aa nn xx nn 
s0aannxxNNk0aa	s0 aa nn xx nn k0 aa 
s0eek0yexi	s0 ee k0 ye xi 
s0eenghhwaLLxxNN	s0 ee ng hh wa ll xx nn 
s0eengk0aaK0hhaaLL	s0 ee ng k0 aa kh aa ll 
s0eengk0aaK0hhee	s0 ee ng k0 aa kh ee 
s0iiLLc0eexi	s0 ii ll c0 ee xi 
s0iiLLhhyvNNhhaallyvk0oo	s0 ii ll hh yv nn hh aa ll yv k0 oo 
s0iiLLhhyvNNhhaammyvNN	s0 ii ll hh yv nn hh aa mm yv nn 
s0iiLLhhyvNNiillaannxxNN	s0 ii ll hh yv nn ii ll aa nn xx nn 
s0iiLLhhyvNNt0wevvSSnnxxnnya	s0 ii ll hh yv nn t0 we vv nn nn xx nn ya 
s0iiLLhhyvNNt0wevvSSnnxxnnya	s0 ii ll hh yv nn t0 we vv t0 nn xx nn ya 
s0iiLLhhyvNNxi	s0 ii ll hh yv nn xi 
s0uu	s0 uu 
s0uunnxxNN	s0 uu nn xx nn 
s0uup0aaNNhhaannxxNN	s0 uu p0 aa nn hh aa nn xx nn 
s0uut0oo	s0 uu t0 oo 
s0uut0xxK0hhaaMMxxlloossvv	s0 uu t0 xx k0 hh aa mm xx ll oo ss vv 
s0uut0xxK0hhaaMMxxlloossvv	s0 uu t0 xx kh aa mm xx ll oo ss vv 
s0vvNNchvvNNc0vvK0xxlloo	s0 vv nn ch vv nn c0 vv k0 xx ll oo 
s0vvngc0iiLL	s0 vv ng c0 ii ll 
s0vvngc0iiLLxxLL	s0 vv ng c0 ii ll xx ll 
s0vvngiiNNii	s0 vv ng ii nn ii 
s0vvngnnxxngxxLL	s0 vv ng nn xx ng xx ll 
s0xxP0t0xxK0hhaannxxNN	s0 xx p0 t0 xx kh aa nn xx nn 
s0xxP0t0xxK0hhaannxxNN	s0 xx p0 tt xx kh aa nn xx nn 
t0aaLLllyv	t0 aa ll ll yv 
t0aallxxNN	t0 aa ll xx nn 
t0aallxxk0oo	t0 aa ll xx k0 oo 
t0aallxxt0aa	t0 aa ll xx t0 aa 
t0aammaaNN	t0 aa mm aa nn 
t0aas0ii	t0 aa s0 ii 
t0ee	t0 ee 
t0eek0aallxxLL	t0 ee k0 aa ll xx ll 
t0eek0aannxxNN	t0 ee k0 aa nn xx nn 
t0ooK0s0vvngxxLL	t0 oo k0 ss vv ng xx ll 
t0ooc0vvhhii	t0 oo c0 vv hh ii 
t0oongaaNN	t0 oo ng aa nn 
t0oongmmuuLLii	t0 oo ng mm uu ll ii 
t0oongmmuuLLxxNN	t0 oo ng mm uu ll xx nn 
t0oot0aaLLhhaaLL	t0 oo t0 aa ll hh aa ll 
t0uu	t0 uu 
t0uuLLccee	t0 uu ll cc ee 
t0vvp0uuLLvv	t0 vv p0 uu ll vv 
t0weLL	t0 we ll 
t0weNNt0aa	t0 we nn t0 aa 
t0wek0oo	t0 we k0 oo 
t0wemmyv	t0 we mm yv 
t0wemmyvNN	t0 we mm yv nn 
t0wennaa	t0 we nn aa 
t0wennii	t0 we nn ii 
t0wennxxNN	t0 we nn xx nn 
t0wevv	t0 we vv 
t0wevvs0vvnnxxNN	t0 we vv s0 vv nn xx nn 
thaak0oonnaannxxNN	th aa k0 oo nn aa nn xx nn 
thoonghhaayv	th oo ng hh aa yv 
thvvt0xxK0iit0aa	th vv t0 xx k0 ii t0 aa 
thxxK0k0wvNNiit0aa	th xx k0 k0 wv nn ii t0 aa 
thxxK0k0wvNNiit0aa	th xx k0 kk wv nn ii t0 aa 
ttaallaas0vv	tt aa ll aa s0 vv 
tteemmuuNNee	tt ee mm uu nn ee 
tteemmuuNNiit0aa	tt ee mm uu nn ii t0 aa 
tteennxxNN	tt ee nn xx nn 
ttoo	tt oo 
ttxxk0vvuuMMxxLL	tt xx k0 vv uu mm xx ll 
ttxxk0vvuuNN	tt xx k0 vv uu nn 
uullii	uu ll ii 
uulliik0aa	uu ll ii k0 aa 
uulliixi	uu ll ii xi 
vvLLxxMMxxLL	vv ll xx mm xx ll 
vvLLxxMMxxNN	vv ll xx mm xx nn 
vvP0S0iinnxxNN	vv p0 s0 ii nn xx nn 
vvP0S0iinnxxNN	vv p0 ss ii nn xx nn 
vvP0S0k0ii	vv p0 kk ii 
vvP0S0nnxxNN	vv mm nn xx nn 
vvP0S0nnxxNN	vv p0 nn xx nn 
vvP0S0t0aa	vv p0 tt aa 
vvT0k0ee	vv t0 kk ee 
vvT0k0ii	vv t0 kk ii 
vvT0nnxxNN	vv nn nn xx nn 
vvT0xxllyvnnxxNN	vv t0 xx ll yv nn xx nn 
vvllyvs0vvnnxxNN	vv ll yv s0 vv nn xx nn 
vvllyvuuNN	vv ll yv uu nn 
vvt0iikkaac0iinnaa	vv t0 ii kk aa c0 ii nn aa 
vvttvvhhaaNN	vv tt vv hh aa nn 
wennyahhaammyvNN	we nn ya hh aa mm yv nn 
wihhaayv	wi hh aa yv 
wihhvvMMhhaaNN	wi hh vv mm hh aa nn 
wvLLs0eek0yeee	wv ll s0 ee k0 ye ee 
wvLLs0eek0yeees0vv	wv ll s0 ee k0 ye ee s0 vv 
wvLLs0eek0yeees0vvxi	wv ll s0 ee k0 ye ee s0 vv xi 
wvNNs0iic0vvK0iiNN	wv nn s0 ii c0 vv k0 ii nn 
xihhaayv	xi hh aa yv 
ximmiihhaaNNt0aa	xi mm ii hh aa nn t0 aa 
yangii	ya ng ii 
yec0iik0aa	ye c0 ii k0 aa 
yec0iinnxxNN	ye c0 ii nn xx nn 
yec0iiyo	ye c0 ii yo 
yongiihhaaNN	yo ng ii hh aa nn 
yuK0cheec0vvK0	yu k0 ch ee c0 vv k0 
yvLLxxLL	yv ll xx ll 
yvNNk0uuhhaak0oo	yv nn k0 uu hh aa k0 oo 
yvNNk0uuwa	yv nn k0 uu wa 
yvNNmmaahhaak0oo	yv nn mm aa hh aa k0 oo 
yvthaaxi	yv th aa xi 
